229,179,197,235,174,1.29,-10.40,-1.22,i
221,180,197,183,180,1.33,-10.28,-1.37,i
234,179,197,242,179,1.26,-10.24,-1.22,i
177,182,198,180,182,1.41,-10.24,-1.18,i
270,183,201,180,176,1.49,-10.24,-1.37,i
197,182,198,186,177,1.45,-10.28,-1.37,i
179,182,200,183,180,1.41,-10.24,-1.33,i
204,184,202,1023,177,1.41,-10.36,-1.41,i
252,187,203,1022,178,1.45,-10.24,-1.26,i
281,207,227,1020,179,1.45,-10.28,-1.45,i
234,267,281,1023,174,1.61,-10.24,-1.53,i
303,327,323,1023,181,1.80,-10.20,-1.18,i
345,351,344,1023,177,1.88,-10.28,-0.94,i
305,362,337,1023,181,1.84,-10.36,-0.90,i
391,350,339,1023,178,2.08,-10.28,-1.26,i
323,346,339,1022,176,2.35,-10.16,-1.14,i
311,347,337,1023,179,2.43,-10.16,-1.33,i
437,342,333,1023,178,2.43,-10.16,-1.10,i
331,345,333,1023,175,2.39,-10.16,-1.14,i
356,342,331,1023,176,2.55,-10.20,-0.86,i
346,332,329,1023,176,2.31,-10.16,-1.06,i
