240,184,206,199,181,-0.08,-10.83,2.24
237,184,207,199,183,0.20,-10.36,1.65
240,179,202,199,182,0.20,-10.51,1.77
242,186,206,199,182,0.20,-10.94,2.98
243,184,205,199,182,0.08,-10.79,2.12
245,186,207,199,181,0.20,-10.63,1.88
246,186,206,199,181,0.12,-10.67,2.12
230,184,202,199,181,0.20,-10.67,2.00
229,185,201,199,181,0.20,-10.67,1.92
225,184,203,199,183,0.12,-10.63,2.00
230,182,204,199,180,0.16,-10.63,2.00
229,185,202,199,181,0.24,-10.59,1.80
231,184,203,199,179,0.24,-10.75,2.00
236,184,209,199,181,0.24,-10.59,2.04
244,185,204,199,183,0.12,-10.67,2.20
274,184,207,199,191,0.04,-10.79,1.77
342,208,241,199,207,0.16,-10.94,2.04
368,218,284,266,240,0.12,-10.67,1.69
386,207,305,299,268,0.00,-10.59,1.92
408,243,323,300,297,0.08,-10.67,1.73
421,316,330,311,311,0.04,-10.71,2.16
427,326,330,302,318,0.00,-10.59,1.96
429,327,331,355,321,0.08,-10.63,2.00
434,321,334,388,336,0.08,-10.67,2.04
434,316,335,377,343,0.16,-10.67,1.96
435,311,335,389,343,0.16,-10.63,1.88
431,308,333,399,341,0.20,-10.59,1.96
430,302,333,365,339,0.31,-10.67,1.96
429,295,331,355,338,0.39,-10.71,1.77
350,220,291,321,254,0.27,-10.43,2.43
315,198,252,300,209,0.20,-10.63,2.20
278,187,215,250,187,0.27,-10.55,2.24
224,182,200,186,180,0.16,-10.55,1.33
217,181,200,181,179,0.08,-10.67,1.18
216,181,200,181,179,0.20,-10.67,1.22
216,182,200,182,179,0.04,-10.59,1.06
215,180,199,209,179,0.08,-10.67,1.06
216,181,200,211,179,0.24,-10.63,1.14
217,181,200,180,179,0.24,-10.67,1.18
217,182,200,181,179,0.27,-10.63,1.33
216,182,200,180,179,0.39,-10.63,1.18
